11,2
0,2
2,11
11,2
14,2
6,11
14,14
14,14
14,14
2,2
0,2
2,2
6,14
2,2
11,11
0,14
11,2
11,2
14,14
2,2
14,2
10,2
2,11
2,2
2,2
2,2
2,6
6,14
0,0
11,14
10,11
2,11
10,2
14,15
14,2
11,11
10,14
14,2
2,2
6,2
10,6
11,2
8,2
11,0
11,0
6,2
2,2
2,11
11,2
14,14
14,14
14,2
6,14
14,14
2,11
11,0
0,2
11,2
6,14
2,2
2,11
0,2
2,14
14,8
0,2
0,14
2,2
2,2
2,2
11,2
2,11
14,11
14,2
11,2
2,0
11,2
2,1
11,14
2,2
11,0
6,14
14,14
14,6
2,2
11,2
14,2
14,0
2,2
14,2
14,2
11,2
0,6
2,2
6,14
11,10
11,14
1,10
14,14
10,10
6,2
2,14
6,14
6,14
14,14
11,14
11,11
6,6
10,10
14,14
6,14
14,6
14,2
2,2
14,2
6,6
14,2
2,2
14,2
11,2
6,2
14,6
14,14
14,14
14,14
14,14
6,14
14,14
14,2
2,2
6,2
10,10
11,14
15,14
2,14
11,11
14,2
6,14
0,2
2,2
6,11
2,2
2,14
6,2
10,6
14,14
6,11
10,11
2,14
2,2
11,11
2,2
14,14
2,2
14,2
14,14
11,2
11,2
14,14
14,14
10,11
6,2
10,2
6,14
11,2
11,11
14,2
6,2
10,14
14,14
2,14
11,2
11,2
2,11
2,2
11,2
2,2
10,2
2,2
14,14
14,11
6,2
2,2
4,14
10,10
15,2
15,14
15,2
15,2
6,14
6,2
10,11
14,6
14,6
14,2
10,2
11,14
2,11
6,2
10,11
12,2
2,11
6,2
2,2
11,0
2,2
10,2
14,14
14,14
14,2
6,2
10,11
0,0
2,2
2,2
11,2
11,2
14,2
6,2
6,2
2,2
6,2
14,11
1,10
11,11
1,10
0,0
11,11
6,14
11,2
11,0
2,14
10,10
2,11
14,14
14,14
11,2
14,11
14,14
11,2
6,14
14,14
11,14
2,2
6,14
2,2
6,2
2,10
2,2
10,11
11,11
6,11
11,2
14,2
11,6
14,14
2,2
6,14
2,14
12,2
6,2
14,14
11,2
11,6
11,2
2,2
14,2
0,2
6,6
11,2
2,2
2,2
14,11
11,14
11,2
10,2
2,2
14,2
14,2
11,2
10,6
1,14
2,2
10,2
14,2
0,11
6,14
11,2
14,10
11,14
8,14
14,11
11,14
2,2
11,2
14,2
11,11
11,2
6,6
6,2
2,2
6,2
2,2
10,10
11,0
6,10
0,14
0,2
14,14
11,14
6,2
2,0
2,2
11,10
14,2
11,2
11,10
10,2
2,2
14,14
11,2
2,2
14,2
10,10
14,14
14,14
6,15
11,11
2,2
14,2
14,14
6,1
2,11
1,6
6,6
2,14
2,2
14,2
10,2
10,2
11,2
11,10
11,2
2,11
14,14
14,2
11,10
6,11
2,2
2,2
4,11
2,2
2,2
10,10
11,2
2,2
10,2
6,14
2,2
14,14
6,11
14,11
2,14
11,6
11,11
11,6
2,0
11,2
6,14
14,2
11,11
11,2
6,0
14,14
14,11
2,2
14,2
6,2
2,14
2,2
0,2
1,14
2,2
6,14
2,2
14,2
6,2
2,0
14,14
10,4
1,2
0,6
0,2
2,15
14,14
6,0
11,11
11,2
14,2
14,2
6,14
14,14
14,2
6,2
11,14
0,2
14,2
2,0
2,2
2,6
11,2
2,14
11,14
10,11
14,14
2,11
11,2
6,15
10,2
2,6
10,11
0,14
6,2
10,14
6,6
8,2
11,4
6,2
6,2
6,14
11,6
6,6
6,14
10,2
14,14
14,14
2,11
1,15
6,14
14,0
14,1
6,2
14,2
2,2
2,14
0,2
8,14
6,2
14,14
11,2
2,2
11,2
10,10
11,2
14,2
14,14
10,14
11,6
10,10
2,11
10,6
11,2
2,14
8,2
0,15
14,14
0,14
14,2
0,2
10,11
2,2
2,14
0,14
11,2
2,14
14,10
2,15
11,2
11,14
6,2
10,2
2,2
2,11
2,11
0,10
10,2
2,2
2,2
2,2
6,14
14,2
11,11
14,2
6,10
14,2
6,14
6,8
2,11
0,10
11,2
6,11
2,2
10,2
6,2
10,11
2,2
11,2
14,14
6,14
11,2
11,2
2,2
6,11
2,0
14,14
14,14
